origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.25,33.08339136519524
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.2,32.21360228259942
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.025,27.314278343049402
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.5,36.469813047745916
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.01,25.70783212078681
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.05,28.627843319963397
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.1,30.196992380586956
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.55,37.10668226245103
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.6,37.815393215507285
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.15,31.321973284097467
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.65,38.56071087854127
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.3,33.83515401269167
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.35,34.448744039908206
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.4,35.111840223268544
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.7,39.34202911938831
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.45,35.7482289806372
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.75,40.27051519338176
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.9,43.97136074323012
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.85,42.401350201393164
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.8,41.28662602997219
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.95,46.43986466944798
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.975,48.672969383192466
2025-05-28,ILI incidence,2025-05-25,1,BE,quantile,0.99,51.16336422957128
2025-05-28,ILI incidence,2025-05-25,1,BE,median,,36.469813047745916
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.5,24.57384007151115
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.8,38.31738661028311
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.85,42.22252918665451
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.55,26.265536283681136
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.6,28.06670887887031
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.99,81.17405481218847
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.975,67.67062030166183
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.95,58.11327372117268
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.65,29.895413156403635
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.7,32.27877595964269
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.9,48.236041767430926
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.3,18.87363400196533
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.35,20.224948381781463
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.75,34.84576799969427
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.025,9.131900797779233
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.15,14.583631575587685
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.25,17.49761785010624
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.45,23.138832139179044
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.05,10.7224082965816
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.1,12.851995619755971
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.2,16.07720092161869
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.01,7.521168168267593
2025-05-28,ILI incidence,2025-06-01,2,BE,quantile,0.4,21.616284503139497
2025-05-28,ILI incidence,2025-06-01,2,BE,median,,24.57384007151115
